customer_ID,gender,tenure,internet_service,contract,payment_method,monthly_charges,total_charges,churn
4080-IIARD,Female,13,DSL,Month-to-month,Electronic check,76,981,0
3714-NTNFO,Female,49,Fiber optic,Month-to-month,Electronic check,85,3907,0
5948-UJZLF,Male,2,DSL,Month-to-month,Mailed check,49,97,0
7760-OYPDY,Female,2,Fiber optic,Month-to-month,Electronic check,81,144,1
7639-LIAYI,Male,52,DSL,Two year,Credit card (automatic),80,4218,0
2954-PIBKO,Female,69,DSL,Two year,Credit card (automatic),64,4254,0
8012-SOUDQ,Female,43,Fiber optic,Month-to-month,Electronic check,90,3839,0
9420-LOJKX,Female,15,Fiber optic,Month-to-month,Credit card (automatic),99,1426,1
6575-SUVOI,Female,25,DSL,Month-to-month,Credit card (automatic),70,1753,0
7495-OOKFY,Female,8,Fiber optic,Month-to-month,Credit card (automatic),81,633,1
4667-QONEA,Female,60,DSL,One year,Credit card (automatic),75,4456,0
1658-BYGOY,Male,18,Fiber optic,Month-to-month,Electronic check,95,1753,1
8769-KKTPH,Female,63,Fiber optic,One year,Credit card (automatic),100,6311,0
5067-XJQFU,Male,66,Fiber optic,One year,Electronic check,108,7076,0
3957-SQXML,Female,34,No,Two year,Credit card (automatic),25,894,0
5954-BDFSG,Female,72,Fiber optic,Two year,Credit card (automatic),108,7854,0
0434-CSFON,Female,47,Fiber optic,Month-to-month,Electronic check,101,4707,0
1215-FIGMP,Male,60,Fiber optic,Month-to-month,Bank transfer (automatic),90,5451,0
0526-SXDJP,Male,72,DSL,Two year,Bank transfer (automatic),42,2962,0
0557-ASKVU,Female,18,DSL,One year,Credit card (automatic),54,957,0
5698-BQJOH,Female,9,Fiber optic,Month-to-month,Electronic check,94,857,1
5122-CYFXA,Female,3,DSL,Month-to-month,Electronic check,75,244,0
8627-ZYGSZ,Male,47,Fiber optic,One year,Electronic check,79,3650,0
3410-YOQBQ,Female,31,DSL,Two year,Mailed check,79,2497,0
3170-NMYVV,Female,50,No,Two year,Bank transfer (automatic),20,931,0
7410-OIEDU,Male,10,Fiber optic,Month-to-month,Mailed check,80,887,0
2273-QCKXA,Male,1,DSL,Month-to-month,Mailed check,49,49,0
0731-EBJQB,Female,52,No,One year,Electronic check,20,1091,0
1891-QRQSA,Male,64,Fiber optic,Two year,Bank transfer (automatic),112,7099,0
8028-PNXHQ,Male,62,No,Two year,Bank transfer (automatic),24,1425,0
5630-AHZIL,Female,3,DSL,Month-to-month,Bank transfer (automatic),65,177,0
2673-CXQEU,Female,56,Fiber optic,One year,Electronic check,111,6140,0
6416-JNVRK,Female,46,DSL,One year,Credit card (automatic),56,2689,0
5590-ZSKRV,Female,8,DSL,Month-to-month,Mailed check,55,482,0
0191-ZHSKZ,Male,30,DSL,Month-to-month,Electronic check,75,2111,0
3887-PBQAO,Female,45,No,One year,Credit card (automatic),26,1217,0
5919-TMRGD,Female,1,Fiber optic,Month-to-month,Electronic check,79,79,1
8108-UXRQN,Female,11,DSL,Month-to-month,Electronic check,51,565,0
9191-MYQKX,Female,7,Fiber optic,Month-to-month,Bank transfer (automatic),75,497,1
9919-YLNNG,Female,42,Fiber optic,Month-to-month,Bank transfer (automatic),104,4328,0
0318-ZOPWS,Female,49,No,Two year,Bank transfer (automatic),20,973,0
4445-ZJNMU,Male,9,Fiber optic,Month-to-month,Credit card (automatic),99,919,0
4808-YNLEU,Female,35,DSL,One year,Bank transfer (automatic),62,2215,0
1862-QRWPE,Female,48,No,Two year,Bank transfer (automatic),21,1057,0
2796-NNUFI,Female,46,No,Two year,Mailed check,20,927,0
3016-KSVCP,Male,29,DSL,Month-to-month,Mailed check,34,1009,0
4767-HZZHQ,Male,30,Fiber optic,Month-to-month,Bank transfer (automatic),82,2570,0
2424-WVHPL,Male,1,Fiber optic,Month-to-month,Electronic check,75,75,0
7233-PAHHL,Male,66,DSL,Two year,Mailed check,84,5714,0
6067-NGCEU,Female,65,Fiber optic,Month-to-month,Credit card (automatic),111,7107,0
9848-JQJTX,Male,72,Fiber optic,Two year,Bank transfer (automatic),101,7459,0
8637-XJIVR,Female,12,Fiber optic,Month-to-month,Electronic check,79,927,1
9803-FTJCG,Male,71,DSL,One year,Credit card (automatic),67,4749,0
0278-YXOOG,Male,5,No,Month-to-month,Mailed check,21,114,1
3212-KXOCR,Male,52,No,Two year,Bank transfer (automatic),21,1107,0
4598-XLKNJ,Female,25,Fiber optic,Month-to-month,Electronic check,99,2515,1
6380-ARCEH,Male,1,No,Month-to-month,Mailed check,20,20,0
3679-XASPY,Female,1,No,Month-to-month,Electronic check,19,19,0
7123-WQUHX,Male,38,Fiber optic,One year,Bank transfer (automatic),95,3606,0
5386-THSLQ,Female,66,DSL,One year,Bank transfer (automatic),46,3027,0
3192-NQECA,Male,68,Fiber optic,Two year,Bank transfer (automatic),110,7612,1
6180-YBIQI,Male,5,DSL,Month-to-month,Mailed check,24,100,0
6728-DKUCO,Female,72,Fiber optic,One year,Electronic check,104,7303,0
9750-BOOHV,Female,32,DSL,One year,Mailed check,30,928,0
8597-CWYHH,Male,43,Fiber optic,One year,Mailed check,94,3921,0
2848-YXSMW,Male,72,No,Two year,Credit card (automatic),19,1363,0
0486-HECZI,Male,55,Fiber optic,Month-to-month,Electronic check,97,5239,1
4549-ZDQYY,Female,52,DSL,One year,Credit card (automatic),58,3042,0
5712-AHQNN,Female,43,Fiber optic,Month-to-month,Electronic check,92,3954,0
4846-WHAFZ,Female,37,Fiber optic,Month-to-month,Electronic check,77,2868,1
5256-SKJGO,Female,64,DSL,Two year,Electronic check,55,3424,0
3071-VBYPO,Male,3,Fiber optic,Month-to-month,Electronic check,90,248,0
9560-BBZXK,Female,36,DSL,Two year,Bank transfer (automatic),31,1126,0
5299-RULOA,Female,10,Fiber optic,Month-to-month,Electronic check,100,1065,1
8402-OOOHJ,Female,41,No,Two year,Mailed check,21,835,0
9445-ZUEQE,Male,27,Fiber optic,Month-to-month,Credit card (automatic),85,2152,0
1091-SOZGA,Female,56,Fiber optic,One year,Credit card (automatic),100,5515,0
2928-HLDBA,Female,6,No,Month-to-month,Mailed check,21,113,0
0404-SWRVG,Male,3,Fiber optic,Month-to-month,Electronic check,74,230,1
6497-TILVL,Female,7,DSL,Month-to-month,Mailed check,51,350,0
7219-TLZHO,Female,4,No,Month-to-month,Mailed check,21,63,0
4622-YNKIJ,Male,33,Fiber optic,Two year,Electronic check,89,3028,0
4412-YLTKF,Female,27,Fiber optic,Month-to-month,Electronic check,78,2136,1
6734-PSBAW,Male,72,No,Two year,Bank transfer (automatic),24,1724,0
3930-ZGWVE,Male,1,No,Month-to-month,Mailed check,20,20,0
2639-UGMAZ,Male,71,DSL,One year,Electronic check,56,3985,0
2876-GZYZC,Female,13,Fiber optic,Month-to-month,Electronic check,86,1216,0
6207-WIOLX,Female,25,DSL,Month-to-month,Credit card (automatic),59,1503,1
8587-XYZSF,Male,67,DSL,Two year,Bank transfer (automatic),51,3260,0
3091-FYHKI,Male,1,DSL,Month-to-month,Electronic check,35,35,1
2372-HWUHI,Male,2,DSL,Month-to-month,Electronic check,44,81,1
7799-LGRDP,Female,43,No,Two year,Credit card (automatic),26,1188,0
7850-VWJUU,Female,23,Fiber optic,Month-to-month,Bank transfer (automatic),75,1779,0
3774-VBNXY,Female,64,No,Two year,Mailed check,20,1278,0
6217-KDYWC,Male,57,No,Two year,Mailed check,20,1171,0
0390-DCFDQ,Female,1,Fiber optic,Month-to-month,Mailed check,70,70,1
3146-MSEGF,Female,72,DSL,Two year,Credit card (automatic),88,6426,0
4080-OGPJL,Female,8,DSL,Month-to-month,Electronic check,71,564,1
1095-WGNGG,Female,61,Fiber optic,Two year,Bank transfer (automatic),101,5971,0
2636-SJDOU,Male,64,Fiber optic,One year,Credit card (automatic),84,5289,0
1131-QQZEB,Male,71,No,Two year,Bank transfer (automatic),24,1756,0
5716-EZXZN,Female,65,Fiber optic,Two year,Credit card (automatic),99,6417,0
6837-BJYDQ,Male,3,No,One year,Mailed check,20,61,0
2135-RXIHG,Male,1,DSL,Month-to-month,Electronic check,46,46,1
6440-DKQGE,Male,30,DSL,One year,Credit card (automatic),65,1930,0
3466-BYAVD,Male,15,DSL,Month-to-month,Mailed check,70,1071,0
3780-YVMFA,Female,8,DSL,Month-to-month,Electronic check,69,564,0
3874-EQOEP,Male,7,Fiber optic,Month-to-month,Mailed check,95,656,1
1679-JRFBR,Female,70,Fiber optic,One year,Credit card (automatic),108,7931,0
9073-ZZIAY,Male,62,DSL,Two year,Electronic check,86,5215,0
3077-RSNTJ,Female,6,No,Month-to-month,Mailed check,20,114,0
6551-GNYDG,Female,14,Fiber optic,Month-to-month,Bank transfer (automatic),81,1153,0
9167-APMXZ,Female,22,Fiber optic,Month-to-month,Bank transfer (automatic),84,1822,0
2749-CTKAJ,Male,22,No,One year,Mailed check,20,420,0
6371-NZYEG,Male,16,DSL,Two year,Mailed check,64,1024,0
7554-NEWDD,Male,10,No,Two year,Bank transfer (automatic),26,252,0
8992-VONJD,Female,13,DSL,Month-to-month,Electronic check,56,765,0
0867-MKZVY,Female,20,Fiber optic,Month-to-month,Electronic check,82,1592,1
4482-EWFMI,Female,2,Fiber optic,Month-to-month,Electronic check,70,135,0
4648-YPBTM,Male,53,DSL,Two year,Bank transfer (automatic),74,3958,0
2907-ILJBN,Female,11,No,One year,Mailed check,21,234,0
6345-FZOQH,Male,69,No,Two year,Mailed check,20,1363,0
3376-BMGFE,Female,4,Fiber optic,Month-to-month,Bank transfer (automatic),71,273,1
5997-OPVFA,Male,72,DSL,Two year,Bank transfer (automatic),89,6254,0
3445-HXXGF,Male,58,DSL,Month-to-month,Electronic check,45,2651,1
1159-WFSGR,Female,16,No,Month-to-month,Electronic check,20,321,0
7654-YWJUF,Male,43,Fiber optic,One year,Bank transfer (automatic),84,3539,0
1875-QIVME,Female,2,Fiber optic,Month-to-month,Electronic check,104,243,1
6727-IOTLZ,Male,14,DSL,Two year,Mailed check,82,1182,0
0691-JVSYA,Female,53,Fiber optic,One year,Bank transfer (automatic),95,5000,1
5918-VUKWP,Female,32,No,One year,Bank transfer (automatic),21,655,0
1744-JHKYS,Female,34,No,Month-to-month,Electronic check,25,780,0
2656-FMOKZ,Female,15,Fiber optic,Month-to-month,Mailed check,74,1146,1
2070-FNEXE,Female,7,Fiber optic,Month-to-month,Bank transfer (automatic),76,504,1
5947-SGKCL,Female,15,Fiber optic,Month-to-month,Bank transfer (automatic),105,1559,0
3712-PKXZA,Male,61,No,One year,Credit card (automatic),21,1252,0
6317-YPKDH,Female,1,DSL,Month-to-month,Bank transfer (automatic),30,30,1
6582-OIVSP,Female,1,DSL,Month-to-month,Mailed check,45,45,0
9367-WXLCH,Male,8,Fiber optic,Month-to-month,Bank transfer (automatic),85,663,1
5524-KHNJP,Male,33,DSL,One year,Credit card (automatic),75,2453,0
1918-ZBFQJ,Female,13,Fiber optic,Month-to-month,Electronic check,79,1112,1
1024-GUALD,Female,1,DSL,Month-to-month,Electronic check,25,25,1
4827-USJHP,Male,20,DSL,Month-to-month,Mailed check,52,1024,0
8167-GJLRN,Male,3,DSL,Month-to-month,Electronic check,30,82,0
0956-SYCWG,Female,13,No,One year,Electronic check,20,245,0
8017-UVSZU,Female,40,DSL,Month-to-month,Credit card (automatic),57,2379,0
7100-FQPRV,Male,43,DSL,One year,Credit card (automatic),72,3173,0
2472-OVKUP,Male,6,Fiber optic,Month-to-month,Electronic check,91,531,1
2984-RGEYA,Female,69,No,Two year,Bank transfer (automatic),20,1375,0
9680-NIAUV,Female,72,Fiber optic,Two year,Credit card (automatic),110,8129,0
2146-EGVDT,Male,59,No,Two year,Credit card (automatic),19,1193,0
2604-IJPDU,Female,20,Fiber optic,Month-to-month,Electronic check,97,1902,0
9178-JHUVJ,Male,24,No,Two year,Bank transfer (automatic),24,587,0
6168-YBYNP,Male,59,Fiber optic,Month-to-month,Electronic check,111,6520,0
7255-SSFBC,Male,72,Fiber optic,Two year,Bank transfer (automatic),112,8042,0
3645-DEYGF,Male,1,No,Month-to-month,Mailed check,21,21,0
9323-HGFWY,Female,27,Fiber optic,One year,Credit card (automatic),102,2681,0
8544-GOQSH,Female,14,Fiber optic,Month-to-month,Credit card (automatic),80,1112,0
3363-DTIVD,Male,71,Fiber optic,Two year,Electronic check,106,7406,0
7018-WBJNK,Male,13,Fiber optic,Month-to-month,Credit card (automatic),78,1034,0
9142-KZXOP,Male,44,Fiber optic,Month-to-month,Credit card (automatic),69,2959,0
7674-YTAFD,Female,33,Fiber optic,One year,Bank transfer (automatic),80,2685,0
6348-SNFUS,Male,72,DSL,Two year,Credit card (automatic),55,4179,0
1285-OKIPP,Male,1,Fiber optic,Month-to-month,Electronic check,80,80,1
7825-ECJRF,Female,19,Fiber optic,Month-to-month,Electronic check,107,1934,1
1347-KTTTA,Male,64,Fiber optic,One year,Credit card (automatic),102,6654,0
7841-TZDMQ,Male,2,DSL,Month-to-month,Credit card (automatic),46,85,1
4195-NZGTA,Female,1,DSL,Month-to-month,Electronic check,25,25,0
7157-SMCFK,Male,61,No,Two year,Mailed check,20,1124,0
4709-LKHYG,Female,29,No,One year,Electronic check,20,540,0
2504-DSHIH,Male,23,Fiber optic,Month-to-month,Electronic check,87,1976,0
0699-NDKJM,Female,57,DSL,Month-to-month,Bank transfer (automatic),59,3437,0
9286-BHDQG,Male,72,DSL,Two year,Credit card (automatic),45,3140,0
0230-WEQUW,Male,66,DSL,Two year,Bank transfer (automatic),57,3789,0
2040-LDIWQ,Male,65,DSL,Two year,Bank transfer (automatic),84,5325,0
6496-JDSSB,Female,8,Fiber optic,Month-to-month,Bank transfer (automatic),80,625,0
9408-SSNVZ,Female,4,Fiber optic,Month-to-month,Electronic check,70,268,1
4443-EMBNA,Female,71,No,Two year,Bank transfer (automatic),25,1837,0
6469-MRVET,Male,1,No,One year,Electronic check,20,20,0
0742-MOABM,Male,4,DSL,Month-to-month,Mailed check,50,179,1
5961-VUSRV,Female,12,No,One year,Bank transfer (automatic),19,219,0
6778-JFCMK,Male,24,DSL,One year,Mailed check,51,1289,0
6341-JVQGF,Female,31,DSL,One year,Mailed check,81,2546,0
2232-DMLXU,Female,1,DSL,Month-to-month,Mailed check,55,55,1
4811-JBUVU,Male,30,Fiber optic,Month-to-month,Credit card (automatic),90,2723,0
0945-TSONX,Female,47,DSL,Two year,Credit card (automatic),85,4107,0
2651-ZCBXV,Male,54,Fiber optic,Two year,Credit card (automatic),108,5761,0
3316-UWXUY,Male,50,Fiber optic,Month-to-month,Credit card (automatic),94,4748,0
8937-RDTHP,Male,1,Fiber optic,Month-to-month,Mailed check,85,85,1
7083-MIOPC,Female,72,No,Two year,Credit card (automatic),20,1567,0
1984-GPTEH,Female,29,No,Month-to-month,Electronic check,25,702,0
1251-KRREG,Male,2,DSL,Month-to-month,Mailed check,54,114,1
0621-JFHOL,Female,10,DSL,Two year,Mailed check,30,299,0
9903-LYSAB,Male,18,Fiber optic,Month-to-month,Electronic check,73,1306,0
0094-OIFMO,Female,11,Fiber optic,Month-to-month,Electronic check,95,1120,1
9227-UAQFT,Male,16,No,Two year,Mailed check,20,284,0
7301-ABVAD,Female,72,DSL,Two year,Bank transfer (automatic),87,6351,0
6614-FHDBO,Male,72,Fiber optic,Two year,Bank transfer (automatic),109,7878,0
7576-ASEJU,Female,41,DSL,One year,Credit card (automatic),75,3188,0
9058-HRZSV,Female,65,Fiber optic,Month-to-month,Electronic check,94,6126,0
4522-AKYLR,Female,13,DSL,Month-to-month,Electronic check,55,731,0
0221-WMXNQ,Male,4,Fiber optic,Month-to-month,Electronic check,75,273,0
0303-UNCIP,Male,41,DSL,One year,Mailed check,65,2532,0
9947-OTFQU,Male,15,Fiber optic,Month-to-month,Electronic check,74,1074,1
0322-YINQP,Male,1,DSL,Month-to-month,Mailed check,49,49,1
0959-WHOKV,Male,42,Fiber optic,One year,Electronic check,99,4298,0
4075-JFPGR,Female,51,Fiber optic,One year,Electronic check,94,4620,0
4629-NRXKX,Female,2,Fiber optic,Month-to-month,Electronic check,70,147,1
9514-JDSKI,Male,1,DSL,Month-to-month,Electronic check,40,40,1
3282-ZISZV,Male,32,DSL,One year,Credit card (automatic),84,2633,0
3675-YDUPJ,Male,10,No,Month-to-month,Mailed check,20,193,0
4111-BNXIF,Female,67,DSL,Two year,Electronic check,60,4104,0
7017-VFHAY,Female,61,Fiber optic,Two year,Credit card (automatic),115,7008,0
6655-LHBYW,Male,50,Fiber optic,One year,Credit card (automatic),114,5791,0
4959-JOSRX,Female,2,DSL,Month-to-month,Credit card (automatic),45,81,1
5046-NUHWD,Female,29,DSL,Month-to-month,Electronic check,45,1229,0
7273-TEFQD,Male,3,DSL,Month-to-month,Electronic check,41,132,1
3606-TWKGI,Male,13,Fiber optic,Month-to-month,Electronic check,107,1364,1
7529-ZDFXI,Male,57,Fiber optic,Month-to-month,Electronic check,90,4925,0
7605-BDWDC,Female,31,DSL,Two year,Bank transfer (automatic),50,1520,0
1950-KSVVJ,Female,45,Fiber optic,One year,Mailed check,113,5032,0
0123-CRBRT,Female,61,DSL,Two year,Mailed check,88,5527,0
6292-TOSSS,Male,50,No,Two year,Bank transfer (automatic),25,1195,0
3197-ARFOY,Female,19,Fiber optic,Month-to-month,Mailed check,105,2007,0
6323-AYBRX,Male,59,No,Two year,Mailed check,19,1100,1
7014-ZZXAW,Female,71,No,Two year,Credit card (automatic),24,1733,0
4385-GZQXV,Female,16,Fiber optic,Month-to-month,Electronic check,94,1511,1
7633-MVPUY,Male,57,DSL,Two year,Electronic check,60,3450,0
6366-ZGQGL,Male,1,DSL,Month-to-month,Bank transfer (automatic),25,25,1
4716-HHKQH,Male,20,Fiber optic,Month-to-month,Electronic check,107,2172,0
5940-AHUHD,Male,1,Fiber optic,Month-to-month,Mailed check,71,71,1
6432-TWQLB,Male,5,Fiber optic,Month-to-month,Electronic check,85,401,1
4484-GLZOU,Female,52,Fiber optic,Month-to-month,Electronic check,105,5625,1
3179-GBRWV,Male,21,DSL,Month-to-month,Bank transfer (automatic),65,1340,0
8645-KWHJO,Male,14,DSL,Month-to-month,Electronic check,55,772,0
4130-MZLCC,Female,5,DSL,Month-to-month,Bank transfer (automatic),51,245,0
0314-TKOSI,Female,6,DSL,Month-to-month,Mailed check,55,323,0
8229-MYEJZ,Female,10,DSL,Month-to-month,Electronic check,51,498,0
2080-SRCDE,Female,1,No,Month-to-month,Mailed check,25,25,0
9577-WJVCQ,Female,68,DSL,Month-to-month,Mailed check,54,3688,0
9512-UIBFX,Male,18,Fiber optic,Month-to-month,Mailed check,95,1780,1
6202-DYYFX,Female,22,Fiber optic,One year,Credit card (automatic),76,1784,0
3808-HFKDE,Female,20,DSL,Month-to-month,Electronic check,44,927,0
5583-SXDAG,Male,1,Fiber optic,Month-to-month,Electronic check,70,70,1
3488-PGMQJ,Male,8,Fiber optic,Month-to-month,Electronic check,75,607,1
3580-REOAC,Male,10,DSL,Month-to-month,Credit card (automatic),45,435,1
7534-BFESC,Male,24,Fiber optic,Month-to-month,Electronic check,76,1713,1
3727-OWVYD,Male,35,DSL,One year,Mailed check,61,2021,0
2294-SALNE,Male,23,Fiber optic,One year,Mailed check,87,1941,0
4847-TAJYI,Female,6,Fiber optic,Month-to-month,Electronic check,89,568,0
1563-IWQEX,Female,12,No,Month-to-month,Mailed check,20,220,0
8203-XJZRC,Male,1,No,Month-to-month,Mailed check,20,20,0
6556-DBKZF,Female,71,Fiber optic,Two year,Electronic check,76,5436,0
6851-WEFYX,Male,35,Fiber optic,Month-to-month,Electronic check,101,3438,0
2985-JUUBZ,Male,40,DSL,Month-to-month,Electronic check,75,3016,0
6390-DSAZX,Female,1,Fiber optic,Month-to-month,Mailed check,74,74,1
0895-LMRSF,Male,23,DSL,One year,Bank transfer (automatic),65,1510,0
8098-LLAZX,Female,4,Fiber optic,Month-to-month,Electronic check,95,396,1
8266-VBFQL,Male,4,Fiber optic,Month-to-month,Electronic check,90,357,0
8181-YHCMF,Female,68,DSL,Two year,Credit card (automatic),60,4109,0
2240-HSJQD,Male,38,Fiber optic,Month-to-month,Mailed check,82,3142,0
1248-DYXUB,Male,52,No,Two year,Mailed check,25,1229,0
0265-EDXBD,Male,32,Fiber optic,Month-to-month,Electronic check,75,2303,1
4115-BNPJY,Male,29,DSL,Two year,Mailed check,76,2054,0
3167-SNQPL,Male,38,Fiber optic,Month-to-month,Electronic check,101,3742,0
4091-TVOCN,Male,48,DSL,One year,Credit card (automatic),79,3682,0
1098-TDVUQ,Female,1,No,Month-to-month,Bank transfer (automatic),19,19,0
7277-OZCGZ,Female,22,Fiber optic,Month-to-month,Electronic check,89,1886,0
1557-EMYVT,Female,43,Fiber optic,Two year,Credit card (automatic),115,4895,0
2799-ARNLO,Female,5,Fiber optic,Month-to-month,Electronic check,69,342,0
7563-BIUPC,Male,5,Fiber optic,Month-to-month,Electronic check,81,416,1
5027-YOCXN,Male,51,Fiber optic,One year,Credit card (automatic),110,5686,0
3973-SKMLN,Male,71,No,Two year,Credit card (automatic),20,1355,0
2321-OMBXY,Female,38,DSL,One year,Credit card (automatic),80,3059,1
2840-XANRC,Male,24,Fiber optic,Month-to-month,Electronic check,93,2231,1
6745-JEFZB,Male,35,Fiber optic,Month-to-month,Credit card (automatic),92,3236,0
5020-ZSTTY,Female,54,DSL,One year,Bank transfer (automatic),82,4350,1
9880-TDQAC,Female,72,DSL,Two year,Electronic check,60,4264,0
8705-WZCYL,Male,1,DSL,Month-to-month,Electronic check,45,45,0
7102-JJVTX,Female,9,DSL,One year,Mailed check,49,422,0
8626-PTQGE,Male,69,DSL,Two year,Bank transfer (automatic),60,4177,0
4983-CLMLV,Female,52,Fiber optic,Month-to-month,Credit card (automatic),103,5138,0
5701-YVSVF,Female,11,Fiber optic,Month-to-month,Electronic check,83,880,0
5804-LEPIM,Female,2,Fiber optic,Month-to-month,Electronic check,70,139,1
5697-GOMBF,Female,28,DSL,Month-to-month,Electronic check,36,974,0
2739-CACDQ,Female,17,Fiber optic,Month-to-month,Credit card (automatic),83,1470,0
9385-EHGDO,Female,35,No,Two year,Mailed check,20,739,0
9498-FIMXL,Female,8,No,One year,Mailed check,19,162,0
2379-GYFLQ,Male,46,Fiber optic,One year,Credit card (automatic),95,4423,0
0122-OAHPZ,Female,7,Fiber optic,Month-to-month,Electronic check,74,511,1
2868-SNELZ,Female,2,Fiber optic,Month-to-month,Mailed check,81,156,1
4322-RCYMT,Male,68,DSL,One year,Bank transfer (automatic),76,5294,1
6680-NENYN,Female,43,Fiber optic,Two year,Electronic check,105,4760,1
2088-IEBAU,Female,68,DSL,Two year,Electronic check,88,6148,0
7982-VCELR,Female,36,Fiber optic,Month-to-month,Credit card (automatic),95,3566,0
1343-EHPYB,Male,63,Fiber optic,Month-to-month,Electronic check,103,6603,1
6035-BXTTY,Female,32,DSL,Month-to-month,Bank transfer (automatic),55,1830,0
6885-PKOAM,Female,71,DSL,Two year,Credit card (automatic),86,6224,0
7520-HQWJU,Female,66,DSL,Month-to-month,Bank transfer (automatic),67,4509,0
9639-BUJXT,Male,63,No,One year,Mailed check,21,1328,0
5924-SNGKP,Female,41,No,One year,Credit card (automatic),20,865,0
0021-IKXGC,Female,1,Fiber optic,Month-to-month,Electronic check,72,72,0
2034-GDRCN,Female,2,Fiber optic,Month-to-month,Electronic check,90,168,1
8966-SNIZF,Female,70,No,Two year,Bank transfer (automatic),19,1304,0
6243-OZGFH,Female,23,DSL,Month-to-month,Electronic check,45,997,0
4654-DLAMQ,Female,64,Fiber optic,One year,Bank transfer (automatic),97,6431,0
0513-RBGPE,Male,37,DSL,Two year,Credit card (automatic),63,2279,0
5160-UXJED,Male,17,DSL,One year,Mailed check,45,681,0
4115-NZRKS,Female,7,Fiber optic,Month-to-month,Electronic check,89,574,0
0219-YTZUE,Male,4,Fiber optic,Month-to-month,Bank transfer (automatic),85,372,1
0623-IIHUG,Female,21,DSL,Month-to-month,Electronic check,42,840,1
4572-DVCGN,Female,10,Fiber optic,Month-to-month,Bank transfer (automatic),80,846,1
3351-NGXYI,Female,16,DSL,Month-to-month,Electronic check,54,889,0
8984-EYLLL,Male,64,Fiber optic,Two year,Electronic check,105,6823,0
