customer_ID,gender,tenure,internet_service,contract,payment_method,monthly_charges,total_charges,churn,tenure_group,charge_group
5954-BDFSG,2,72,Fiber optic,Two year,Credit card (automatic),108,7854,0,4-6 Years,High
0434-CSFON,2,47,Fiber optic,Month-to-month,Electronic check,101,4707,0,2-4 Years,High
1215-FIGMP,1,60,Fiber optic,Month-to-month,Bank transfer (automatic),90,5451,0,4-6 Years,Medium
0526-SXDJP,1,72,DSL,Two year,Bank transfer (automatic),42,2962,0,4-6 Years,Low
0557-ASKVU,2,18,DSL,One year,Credit card (automatic),54,957,0,1-2 Years,Medium
5698-BQJOH,2,9,Fiber optic,Month-to-month,Electronic check,94,857,1,0-1 Year,Medium
5122-CYFXA,2,3,DSL,Month-to-month,Electronic check,75,244,0,0-1 Year,Medium
8627-ZYGSZ,1,47,Fiber optic,One year,Electronic check,79,3650,0,2-4 Years,Medium
3410-YOQBQ,2,31,DSL,Two year,Mailed check,79,2497,0,2-4 Years,Medium
3170-NMYVV,2,50,No,Two year,Bank transfer (automatic),20,931,0,4-6 Years,Low
7410-OIEDU,1,10,Fiber optic,Month-to-month,Mailed check,80,887,0,0-1 Year,Medium
2273-QCKXA,1,1,DSL,Month-to-month,Mailed check,49,49,0,0-1 Year,Low
0731-EBJQB,2,52,No,One year,Electronic check,20,1091,0,4-6 Years,Low
1891-QRQSA,1,64,Fiber optic,Two year,Bank transfer (automatic),112,7099,0,4-6 Years,High
8028-PNXHQ,1,62,No,Two year,Bank transfer (automatic),24,1425,0,4-6 Years,Low
5630-AHZIL,2,3,DSL,Month-to-month,Bank transfer (automatic),65,177,0,0-1 Year,Medium
2673-CXQEU,2,56,Fiber optic,One year,Electronic check,111,6140,0,4-6 Years,High
6416-JNVRK,2,46,DSL,One year,Credit card (automatic),56,2689,0,2-4 Years,Medium
5590-ZSKRV,2,8,DSL,Month-to-month,Mailed check,55,482,0,0-1 Year,Medium
0191-ZHSKZ,1,30,DSL,Month-to-month,Electronic check,75,2111,0,2-4 Years,Medium
3887-PBQAO,2,45,No,One year,Credit card (automatic),26,1217,0,2-4 Years,Low
5919-TMRGD,2,1,Fiber optic,Month-to-month,Electronic check,79,79,1,0-1 Year,Medium
8108-UXRQN,2,11,DSL,Month-to-month,Electronic check,51,565,0,0-1 Year,Medium
9191-MYQKX,2,7,Fiber optic,Month-to-month,Bank transfer (automatic),75,497,1,0-1 Year,Medium
9919-YLNNG,2,42,Fiber optic,Month-to-month,Bank transfer (automatic),104,4328,0,2-4 Years,High
0318-ZOPWS,2,49,No,Two year,Bank transfer (automatic),20,973,0,4-6 Years,Low
4445-ZJNMU,1,9,Fiber optic,Month-to-month,Credit card (automatic),99,919,0,0-1 Year,Medium
4808-YNLEU,2,35,DSL,One year,Bank transfer (automatic),62,2215,0,2-4 Years,Medium
1862-QRWPE,2,48,No,Two year,Bank transfer (automatic),21,1057,0,2-4 Years,Low
2796-NNUFI,2,46,No,Two year,Mailed check,20,927,0,2-4 Years,Low
3016-KSVCP,1,29,DSL,Month-to-month,Mailed check,34,1009,0,2-4 Years,Low
4767-HZZHQ,1,30,Fiber optic,Month-to-month,Bank transfer (automatic),82,2570,0,2-4 Years,Medium
2424-WVHPL,1,1,Fiber optic,Month-to-month,Electronic check,75,75,0,0-1 Year,Medium
7233-PAHHL,1,66,DSL,Two year,Mailed check,84,5714,0,4-6 Years,Medium
6067-NGCEU,2,65,Fiber optic,Month-to-month,Credit card (automatic),111,7107,0,4-6 Years,High
9848-JQJTX,1,72,Fiber optic,Two year,Bank transfer (automatic),101,7459,0,4-6 Years,High
8637-XJIVR,2,12,Fiber optic,Month-to-month,Electronic check,79,927,1,0-1 Year,Medium
9803-FTJCG,1,71,DSL,One year,Credit card (automatic),67,4749,0,4-6 Years,Medium
0278-YXOOG,1,5,No,Month-to-month,Mailed check,21,114,1,0-1 Year,Low
3212-KXOCR,1,52,No,Two year,Bank transfer (automatic),21,1107,0,4-6 Years,Low
4598-XLKNJ,2,25,Fiber optic,Month-to-month,Electronic check,99,2515,1,2-4 Years,Medium
6380-ARCEH,1,1,No,Month-to-month,Mailed check,20,20,0,0-1 Year,Low
3679-XASPY,2,1,No,Month-to-month,Electronic check,19,19,0,0-1 Year,Low
7123-WQUHX,1,38,Fiber optic,One year,Bank transfer (automatic),95,3606,0,2-4 Years,Medium
5386-THSLQ,2,66,DSL,One year,Bank transfer (automatic),46,3027,0,4-6 Years,Low
3192-NQECA,1,68,Fiber optic,Two year,Bank transfer (automatic),110,7612,1,4-6 Years,High
6180-YBIQI,1,5,DSL,Month-to-month,Mailed check,24,100,0,0-1 Year,Low
6728-DKUCO,2,72,Fiber optic,One year,Electronic check,104,7303,0,4-6 Years,High
9750-BOOHV,2,32,DSL,One year,Mailed check,30,928,0,2-4 Years,Low
8597-CWYHH,1,43,Fiber optic,One year,Mailed check,94,3921,0,2-4 Years,Medium
2848-YXSMW,1,72,No,Two year,Credit card (automatic),19,1363,0,4-6 Years,Low
0486-HECZI,1,55,Fiber optic,Month-to-month,Electronic check,97,5239,1,4-6 Years,Medium
4549-ZDQYY,2,52,DSL,One year,Credit card (automatic),58,3042,0,4-6 Years,Medium
5712-AHQNN,2,43,Fiber optic,Month-to-month,Electronic check,92,3954,0,2-4 Years,Medium
4846-WHAFZ,2,37,Fiber optic,Month-to-month,Electronic check,77,2868,1,2-4 Years,Medium
5256-SKJGO,2,64,DSL,Two year,Electronic check,55,3424,0,4-6 Years,Medium
3071-VBYPO,1,3,Fiber optic,Month-to-month,Electronic check,90,248,0,0-1 Year,Medium
9560-BBZXK,2,36,DSL,Two year,Bank transfer (automatic),31,1126,0,2-4 Years,Low
5299-RULOA,2,10,Fiber optic,Month-to-month,Electronic check,100,1065,1,0-1 Year,Medium
8402-OOOHJ,2,41,No,Two year,Mailed check,21,835,0,2-4 Years,Low
9445-ZUEQE,1,27,Fiber optic,Month-to-month,Credit card (automatic),85,2152,0,2-4 Years,Medium
1091-SOZGA,2,56,Fiber optic,One year,Credit card (automatic),100,5515,0,4-6 Years,Medium
2928-HLDBA,2,6,No,Month-to-month,Mailed check,21,113,0,0-1 Year,Low
0404-SWRVG,1,3,Fiber optic,Month-to-month,Electronic check,74,230,1,0-1 Year,Medium
6497-TILVL,2,7,DSL,Month-to-month,Mailed check,51,350,0,0-1 Year,Medium
7219-TLZHO,2,4,No,Month-to-month,Mailed check,21,63,0,0-1 Year,Low
4622-YNKIJ,1,33,Fiber optic,Two year,Electronic check,89,3028,0,2-4 Years,Medium
4412-YLTKF,2,27,Fiber optic,Month-to-month,Electronic check,78,2136,1,2-4 Years,Medium
6734-PSBAW,1,72,No,Two year,Bank transfer (automatic),24,1724,0,4-6 Years,Low
3930-ZGWVE,1,1,No,Month-to-month,Mailed check,20,20,0,0-1 Year,Low
2639-UGMAZ,1,71,DSL,One year,Electronic check,56,3985,0,4-6 Years,Medium
2876-GZYZC,2,13,Fiber optic,Month-to-month,Electronic check,86,1216,0,1-2 Years,Medium
6207-WIOLX,2,25,DSL,Month-to-month,Credit card (automatic),59,1503,1,2-4 Years,Medium
8587-XYZSF,1,67,DSL,Two year,Bank transfer (automatic),51,3260,0,4-6 Years,Medium
3091-FYHKI,1,1,DSL,Month-to-month,Electronic check,35,35,1,0-1 Year,Low
2372-HWUHI,1,2,DSL,Month-to-month,Electronic check,44,81,1,0-1 Year,Low
7799-LGRDP,2,43,No,Two year,Credit card (automatic),26,1188,0,2-4 Years,Low
7850-VWJUU,2,23,Fiber optic,Month-to-month,Bank transfer (automatic),75,1779,0,1-2 Years,Medium
3774-VBNXY,2,64,No,Two year,Mailed check,20,1278,0,4-6 Years,Low
6217-KDYWC,1,57,No,Two year,Mailed check,20,1171,0,4-6 Years,Low
0390-DCFDQ,2,1,Fiber optic,Month-to-month,Mailed check,70,70,1,0-1 Year,Medium
3146-MSEGF,2,72,DSL,Two year,Credit card (automatic),88,6426,0,4-6 Years,Medium
4080-OGPJL,2,8,DSL,Month-to-month,Electronic check,71,564,1,0-1 Year,Medium
1095-WGNGG,2,61,Fiber optic,Two year,Bank transfer (automatic),101,5971,0,4-6 Years,High
2636-SJDOU,1,64,Fiber optic,One year,Credit card (automatic),84,5289,0,4-6 Years,Medium
1131-QQZEB,1,71,No,Two year,Bank transfer (automatic),24,1756,0,4-6 Years,Low
5716-EZXZN,2,65,Fiber optic,Two year,Credit card (automatic),99,6417,0,4-6 Years,Medium
6837-BJYDQ,1,3,No,One year,Mailed check,20,61,0,0-1 Year,Low
2135-RXIHG,1,1,DSL,Month-to-month,Electronic check,46,46,1,0-1 Year,Low
6440-DKQGE,1,30,DSL,One year,Credit card (automatic),65,1930,0,2-4 Years,Medium
3466-BYAVD,1,15,DSL,Month-to-month,Mailed check,70,1071,0,1-2 Years,Medium
3780-YVMFA,2,8,DSL,Month-to-month,Electronic check,69,564,0,0-1 Year,Medium
3874-EQOEP,1,7,Fiber optic,Month-to-month,Mailed check,95,656,1,0-1 Year,Medium
1679-JRFBR,2,70,Fiber optic,One year,Credit card (automatic),108,7931,0,4-6 Years,High
9073-ZZIAY,1,62,DSL,Two year,Electronic check,86,5215,0,4-6 Years,Medium
3077-RSNTJ,2,6,No,Month-to-month,Mailed check,20,114,0,0-1 Year,Low
6551-GNYDG,2,14,Fiber optic,Month-to-month,Bank transfer (automatic),81,1153,0,1-2 Years,Medium
9167-APMXZ,2,22,Fiber optic,Month-to-month,Bank transfer (automatic),84,1822,0,1-2 Years,Medium
2749-CTKAJ,1,22,No,One year,Mailed check,20,420,0,1-2 Years,Low
6371-NZYEG,1,16,DSL,Two year,Mailed check,64,1024,0,1-2 Years,Medium
7554-NEWDD,1,10,No,Two year,Bank transfer (automatic),26,252,0,0-1 Year,Low
8992-VONJD,2,13,DSL,Month-to-month,Electronic check,56,765,0,1-2 Years,Medium
0867-MKZVY,2,20,Fiber optic,Month-to-month,Electronic check,82,1592,1,1-2 Years,Medium
4482-EWFMI,2,2,Fiber optic,Month-to-month,Electronic check,70,135,0,0-1 Year,Medium
4648-YPBTM,1,53,DSL,Two year,Bank transfer (automatic),74,3958,0,4-6 Years,Medium
2907-ILJBN,2,11,No,One year,Mailed check,21,234,0,0-1 Year,Low
6345-FZOQH,1,69,No,Two year,Mailed check,20,1363,0,4-6 Years,Low
3376-BMGFE,2,4,Fiber optic,Month-to-month,Bank transfer (automatic),71,273,1,0-1 Year,Medium
5997-OPVFA,1,72,DSL,Two year,Bank transfer (automatic),89,6254,0,4-6 Years,Medium
3445-HXXGF,1,58,DSL,Month-to-month,Electronic check,45,2651,1,4-6 Years,Low
1159-WFSGR,2,16,No,Month-to-month,Electronic check,20,321,0,1-2 Years,Low
7654-YWJUF,1,43,Fiber optic,One year,Bank transfer (automatic),84,3539,0,2-4 Years,Medium
1875-QIVME,2,2,Fiber optic,Month-to-month,Electronic check,104,243,1,0-1 Year,High
6727-IOTLZ,1,14,DSL,Two year,Mailed check,82,1182,0,1-2 Years,Medium
0691-JVSYA,2,53,Fiber optic,One year,Bank transfer (automatic),95,5000,1,4-6 Years,Medium
5918-VUKWP,2,32,No,One year,Bank transfer (automatic),21,655,0,2-4 Years,Low
1744-JHKYS,2,34,No,Month-to-month,Electronic check,25,780,0,2-4 Years,Low
2656-FMOKZ,2,15,Fiber optic,Month-to-month,Mailed check,74,1146,1,1-2 Years,Medium
2070-FNEXE,2,7,Fiber optic,Month-to-month,Bank transfer (automatic),76,504,1,0-1 Year,Medium
5947-SGKCL,2,15,Fiber optic,Month-to-month,Bank transfer (automatic),105,1559,0,1-2 Years,High
3712-PKXZA,1,61,No,One year,Credit card (automatic),21,1252,0,4-6 Years,Low
6317-YPKDH,2,1,DSL,Month-to-month,Bank transfer (automatic),30,30,1,0-1 Year,Low
6582-OIVSP,2,1,DSL,Month-to-month,Mailed check,45,45,0,0-1 Year,Low
9367-WXLCH,1,8,Fiber optic,Month-to-month,Bank transfer (automatic),85,663,1,0-1 Year,Medium
5524-KHNJP,1,33,DSL,One year,Credit card (automatic),75,2453,0,2-4 Years,Medium
1918-ZBFQJ,2,13,Fiber optic,Month-to-month,Electronic check,79,1112,1,1-2 Years,Medium
1024-GUALD,2,1,DSL,Month-to-month,Electronic check,25,25,1,0-1 Year,Low
4827-USJHP,1,20,DSL,Month-to-month,Mailed check,52,1024,0,1-2 Years,Medium
8167-GJLRN,1,3,DSL,Month-to-month,Electronic check,30,82,0,0-1 Year,Low
0956-SYCWG,2,13,No,One year,Electronic check,20,245,0,1-2 Years,Low
8017-UVSZU,2,40,DSL,Month-to-month,Credit card (automatic),57,2379,0,2-4 Years,Medium
7100-FQPRV,1,43,DSL,One year,Credit card (automatic),72,3173,0,2-4 Years,Medium
2472-OVKUP,1,6,Fiber optic,Month-to-month,Electronic check,91,531,1,0-1 Year,Medium
2984-RGEYA,2,69,No,Two year,Bank transfer (automatic),20,1375,0,4-6 Years,Low
9680-NIAUV,2,72,Fiber optic,Two year,Credit card (automatic),110,8129,0,4-6 Years,High
2146-EGVDT,1,59,No,Two year,Credit card (automatic),19,1193,0,4-6 Years,Low
2604-IJPDU,2,20,Fiber optic,Month-to-month,Electronic check,97,1902,0,1-2 Years,Medium
9178-JHUVJ,1,24,No,Two year,Bank transfer (automatic),24,587,0,1-2 Years,Low
6168-YBYNP,1,59,Fiber optic,Month-to-month,Electronic check,111,6520,0,4-6 Years,High
7255-SSFBC,1,72,Fiber optic,Two year,Bank transfer (automatic),112,8042,0,4-6 Years,High
3645-DEYGF,1,1,No,Month-to-month,Mailed check,21,21,0,0-1 Year,Low
9323-HGFWY,2,27,Fiber optic,One year,Credit card (automatic),102,2681,0,2-4 Years,High
8544-GOQSH,2,14,Fiber optic,Month-to-month,Credit card (automatic),80,1112,0,1-2 Years,Medium
3363-DTIVD,1,71,Fiber optic,Two year,Electronic check,106,7406,0,4-6 Years,High
7018-WBJNK,1,13,Fiber optic,Month-to-month,Credit card (automatic),78,1034,0,1-2 Years,Medium
9142-KZXOP,1,44,Fiber optic,Month-to-month,Credit card (automatic),69,2959,0,2-4 Years,Medium
7674-YTAFD,2,33,Fiber optic,One year,Bank transfer (automatic),80,2685,0,2-4 Years,Medium
6348-SNFUS,1,72,DSL,Two year,Credit card (automatic),55,4179,0,4-6 Years,Medium
1285-OKIPP,1,1,Fiber optic,Month-to-month,Electronic check,80,80,1,0-1 Year,Medium
7825-ECJRF,2,19,Fiber optic,Month-to-month,Electronic check,107,1934,1,1-2 Years,High
1347-KTTTA,1,64,Fiber optic,One year,Credit card (automatic),102,6654,0,4-6 Years,High
7841-TZDMQ,1,2,DSL,Month-to-month,Credit card (automatic),46,85,1,0-1 Year,Low
4195-NZGTA,2,1,DSL,Month-to-month,Electronic check,25,25,0,0-1 Year,Low
7157-SMCFK,1,61,No,Two year,Mailed check,20,1124,0,4-6 Years,Low
4709-LKHYG,2,29,No,One year,Electronic check,20,540,0,2-4 Years,Low
2504-DSHIH,1,23,Fiber optic,Month-to-month,Electronic check,87,1976,0,1-2 Years,Medium
0699-NDKJM,2,57,DSL,Month-to-month,Bank transfer (automatic),59,3437,0,4-6 Years,Medium
9286-BHDQG,1,72,DSL,Two year,Credit card (automatic),45,3140,0,4-6 Years,Low
0230-WEQUW,1,66,DSL,Two year,Bank transfer (automatic),57,3789,0,4-6 Years,Medium
2040-LDIWQ,1,65,DSL,Two year,Bank transfer (automatic),84,5325,0,4-6 Years,Medium
6496-JDSSB,2,8,Fiber optic,Month-to-month,Bank transfer (automatic),80,625,0,0-1 Year,Medium
9408-SSNVZ,2,4,Fiber optic,Month-to-month,Electronic check,70,268,1,0-1 Year,Medium
4443-EMBNA,2,71,No,Two year,Bank transfer (automatic),25,1837,0,4-6 Years,Low
6469-MRVET,1,1,No,One year,Electronic check,20,20,0,0-1 Year,Low
0742-MOABM,1,4,DSL,Month-to-month,Mailed check,50,179,1,0-1 Year,Low
5961-VUSRV,2,12,No,One year,Bank transfer (automatic),19,219,0,0-1 Year,Low
6778-JFCMK,1,24,DSL,One year,Mailed check,51,1289,0,1-2 Years,Medium
6341-JVQGF,2,31,DSL,One year,Mailed check,81,2546,0,2-4 Years,Medium
2232-DMLXU,2,1,DSL,Month-to-month,Mailed check,55,55,1,0-1 Year,Medium
4811-JBUVU,1,30,Fiber optic,Month-to-month,Credit card (automatic),90,2723,0,2-4 Years,Medium
0945-TSONX,2,47,DSL,Two year,Credit card (automatic),85,4107,0,2-4 Years,Medium
2651-ZCBXV,1,54,Fiber optic,Two year,Credit card (automatic),108,5761,0,4-6 Years,High
3316-UWXUY,1,50,Fiber optic,Month-to-month,Credit card (automatic),94,4748,0,4-6 Years,Medium
8937-RDTHP,1,1,Fiber optic,Month-to-month,Mailed check,85,85,1,0-1 Year,Medium
7083-MIOPC,2,72,No,Two year,Credit card (automatic),20,1567,0,4-6 Years,Low
1984-GPTEH,2,29,No,Month-to-month,Electronic check,25,702,0,2-4 Years,Low
1251-KRREG,1,2,DSL,Month-to-month,Mailed check,54,114,1,0-1 Year,Medium
0621-JFHOL,2,10,DSL,Two year,Mailed check,30,299,0,0-1 Year,Low
9903-LYSAB,1,18,Fiber optic,Month-to-month,Electronic check,73,1306,0,1-2 Years,Medium
0094-OIFMO,2,11,Fiber optic,Month-to-month,Electronic check,95,1120,1,0-1 Year,Medium
9227-UAQFT,1,16,No,Two year,Mailed check,20,284,0,1-2 Years,Low
7301-ABVAD,2,72,DSL,Two year,Bank transfer (automatic),87,6351,0,4-6 Years,Medium
6614-FHDBO,1,72,Fiber optic,Two year,Bank transfer (automatic),109,7878,0,4-6 Years,High
7576-ASEJU,2,41,DSL,One year,Credit card (automatic),75,3188,0,2-4 Years,Medium
9058-HRZSV,2,65,Fiber optic,Month-to-month,Electronic check,94,6126,0,4-6 Years,Medium
4522-AKYLR,2,13,DSL,Month-to-month,Electronic check,55,731,0,1-2 Years,Medium
0221-WMXNQ,1,4,Fiber optic,Month-to-month,Electronic check,75,273,0,0-1 Year,Medium
0303-UNCIP,1,41,DSL,One year,Mailed check,65,2532,0,2-4 Years,Medium
9947-OTFQU,1,15,Fiber optic,Month-to-month,Electronic check,74,1074,1,1-2 Years,Medium
0322-YINQP,1,1,DSL,Month-to-month,Mailed check,49,49,1,0-1 Year,Low
0959-WHOKV,1,42,Fiber optic,One year,Electronic check,99,4298,0,2-4 Years,Medium
4075-JFPGR,2,51,Fiber optic,One year,Electronic check,94,4620,0,4-6 Years,Medium
4629-NRXKX,2,2,Fiber optic,Month-to-month,Electronic check,70,147,1,0-1 Year,Medium
9514-JDSKI,1,1,DSL,Month-to-month,Electronic check,40,40,1,0-1 Year,Low
3282-ZISZV,1,32,DSL,One year,Credit card (automatic),84,2633,0,2-4 Years,Medium
3675-YDUPJ,1,10,No,Month-to-month,Mailed check,20,193,0,0-1 Year,Low
4111-BNXIF,2,67,DSL,Two year,Electronic check,60,4104,0,4-6 Years,Medium
7017-VFHAY,2,61,Fiber optic,Two year,Credit card (automatic),115,7008,0,4-6 Years,High
6655-LHBYW,1,50,Fiber optic,One year,Credit card (automatic),114,5791,0,4-6 Years,High
4959-JOSRX,2,2,DSL,Month-to-month,Credit card (automatic),45,81,1,0-1 Year,Low
5046-NUHWD,2,29,DSL,Month-to-month,Electronic check,45,1229,0,2-4 Years,Low
7273-TEFQD,1,3,DSL,Month-to-month,Electronic check,41,132,1,0-1 Year,Low
3606-TWKGI,1,13,Fiber optic,Month-to-month,Electronic check,107,1364,1,1-2 Years,High
7529-ZDFXI,1,57,Fiber optic,Month-to-month,Electronic check,90,4925,0,4-6 Years,Medium
7605-BDWDC,2,31,DSL,Two year,Bank transfer (automatic),50,1520,0,2-4 Years,Low
1950-KSVVJ,2,45,Fiber optic,One year,Mailed check,113,5032,0,2-4 Years,High
0123-CRBRT,2,61,DSL,Two year,Mailed check,88,5527,0,4-6 Years,Medium
6292-TOSSS,1,50,No,Two year,Bank transfer (automatic),25,1195,0,4-6 Years,Low
3197-ARFOY,2,19,Fiber optic,Month-to-month,Mailed check,105,2007,0,1-2 Years,High
6323-AYBRX,1,59,No,Two year,Mailed check,19,1100,1,4-6 Years,Low
7014-ZZXAW,2,71,No,Two year,Credit card (automatic),24,1733,0,4-6 Years,Low
4385-GZQXV,2,16,Fiber optic,Month-to-month,Electronic check,94,1511,1,1-2 Years,Medium
7633-MVPUY,1,57,DSL,Two year,Electronic check,60,3450,0,4-6 Years,Medium
6366-ZGQGL,1,1,DSL,Month-to-month,Bank transfer (automatic),25,25,1,0-1 Year,Low
4716-HHKQH,1,20,Fiber optic,Month-to-month,Electronic check,107,2172,0,1-2 Years,High
5940-AHUHD,1,1,Fiber optic,Month-to-month,Mailed check,71,71,1,0-1 Year,Medium
6432-TWQLB,1,5,Fiber optic,Month-to-month,Electronic check,85,401,1,0-1 Year,Medium
4484-GLZOU,2,52,Fiber optic,Month-to-month,Electronic check,105,5625,1,4-6 Years,High
3179-GBRWV,1,21,DSL,Month-to-month,Bank transfer (automatic),65,1340,0,1-2 Years,Medium
8645-KWHJO,1,14,DSL,Month-to-month,Electronic check,55,772,0,1-2 Years,Medium
4130-MZLCC,2,5,DSL,Month-to-month,Bank transfer (automatic),51,245,0,0-1 Year,Medium
0314-TKOSI,2,6,DSL,Month-to-month,Mailed check,55,323,0,0-1 Year,Medium
8229-MYEJZ,2,10,DSL,Month-to-month,Electronic check,51,498,0,0-1 Year,Medium
2080-SRCDE,2,1,No,Month-to-month,Mailed check,25,25,0,0-1 Year,Low
9577-WJVCQ,2,68,DSL,Month-to-month,Mailed check,54,3688,0,4-6 Years,Medium
9512-UIBFX,1,18,Fiber optic,Month-to-month,Mailed check,95,1780,1,1-2 Years,Medium
6202-DYYFX,2,22,Fiber optic,One year,Credit card (automatic),76,1784,0,1-2 Years,Medium
3808-HFKDE,2,20,DSL,Month-to-month,Electronic check,44,927,0,1-2 Years,Low
5583-SXDAG,1,1,Fiber optic,Month-to-month,Electronic check,70,70,1,0-1 Year,Medium
